Title,URL,Location,Paid Status,Category,Urgency,Date & Time,Price,Host
LCentral PSLE English Workshop 2025,https://www.eventbrite.sg/e/lcentral-psle-english-workshop-2025-tickets-1289392781519?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,"Mon, Jun 23 •  10:00 AM",From $168.00,National Library / Lee Kong Chian Reference Library
Deep Human Facilitation (Level 1),https://www.eventbrite.sg/e/deep-human-facilitation-level-1-tickets-1006510077737?aff=ebdssbdestsearch,"Singapore, ",paid,business,Just added,"Thu, Jun 12 •  9:00 AM","From $2,620.58",Crystal Lim-Lange & Dr. Greg Lim-Lange
Build Wild! Nature Meets Architecture  /  3-Day Arkki Holiday Workshop,https://www.eventbrite.sg/e/build-wild-nature-meets-architecture-3-day-arkki-holiday-workshop-tickets-1314893284209?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,Almost full,Monday • 9:00 AM,From $330.00,Arkki Singapore
Build Wild! Nature Meets Architecture / 3-Day Arkki Holiday Workshop,https://www.eventbrite.sg/e/build-wild-nature-meets-architecture-3-day-arkki-holiday-workshop-tickets-1314893284209?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,Almost full,Monday • 9:00 AM,From $330.00,Kada
Design Your Dream Room! Arkki 3-Day Interior Design Holiday Workshop,https://www.eventbrite.sg/e/design-your-dream-room-arkki-3-day-interior-design-holiday-workshop-tickets-1315138036269?aff=ebdssbdestsearch,"Singapore, ",paid,family-and-education,,Monday • 9:00 AM,From $330.00,Arkki Singapore
Certified Generative AI Professional - Self Study,https://www.eventbrite.sg/e/certified-generative-ai-professional-self-study-tickets-1103670039799?aff=ebdssbdestsearch,"Singapore, ",paid,business,Almost full,"Tue, Jul 1 •  10:00 AM",From $105.88,International Alliance Certification Network
Art+Heart: Singles Art Jamming – Episode 2 Hosted by WeArt & iDatings,https://www.eventbrite.sg/e/artheart-singles-art-jamming-episode-2-hosted-by-weart-idatings-tickets-1295279619209?aff=ebdssbdestsearch,"Singapore, Singapore",paid,arts,,"Sat, Jun 7 •  6:30 PM",From $37.78,iDatings
WSQ Respond to Fire Emergency in Buildings (PI-CP-103E-1)Run 342,https://www.eventbrite.sg/e/wsq-respond-to-fire-emergency-in-buildings-pi-cp-103e-1run-342-tickets-1080197181849?aff=ebdssbdestsearch,"Singapore, ",paid,other,Going fast,"Wed, Jun 11 •  9:00 AM",From $0.00,CERT Consultancy Group Pte Ltd
Our Musical Journey,https://www.eventbrite.sg/e/our-musical-journey-tickets-1339794143349?aff=ebdssbdestsearch,"Atrix, ",paid,arts,Sales end soon,Tomorrow • 3:30 PM,From $23.78,Kenneth Mark Bane
Shuqun 100th Anniversary Gala Dinner,https://www.eventbrite.com/e/shuqun-100th-anniversary-gala-dinner-tickets-1302951736719?aff=ebdssbdestsearch,"Singapore, ",paid,school-activities,,"Fri, Jul 4 •  7:00 PM",From $250.00,Shangri-La Singapore
